target_id,task_id
1,35
1,5
2,31
2,3
3,49
3,2
4,38
4,5
5,55
5,12
6,30
6,7
7,40
7,5
8,53
8,3
9,46
9,3
10,45
10,3
11,46
11,10
12,31
12,5
13,53
13,2
14,35
14,20
15,38
15,3
16,42
16,3
17,32
17,8
18,53
18,8
19,38
19,3
20,39
20,5
21,47
21,5
22,38
22,3
23,37
23,8
24,32
24,3
25,50
25,3
26,32
26,3
27,46
27,3
28,44
28,12
29,52
29,19
30,52
30,19
31,37
31,19
32,52
32,19
33,52
33,19
34,54
34,19
35,52
35,19
36,52
36,19
37,52
37,19
38,52
38,19
39,40
39,19
40,37
40,19
41,52
41,19
42,35
42,19
43,52
43,19
44,37
44,19
45,37
45,19
46,43
46,19
47,52
47,19
48,40
48,19
49,40
49,19
50,37
50,19
51,42
51,19
52,47
52,19
53,45
53,19
54,48
54,19
55,52
55,19
56,52
56,19
