target_id,task_id
1,3
2,1
3,1
4,1
5,1
6,1
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2,5
3,5
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
1,5
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
1,5
1,5
1,5
2,5
3,5
4,5
5,4
6,5
7,11
8,11
9,11
10,11
11,8
12,7
